Above Ground Sighter Measurement,Action,Action (group),Age,Approaches,black,Borough Boundaries,Chasing,cinnamon,City Council Districts,Climbing,Color notes,Combination of Primary and Highlight Color,Community Districts,Date,Eating,Foraging,gray,Hectare,Hectare Squirrel Number,Highlight,Highlight Fur Color,Indifferent,Kuks,Lat/Long,Location,Moans,Other Activities,Other Interactions,Police Precincts,Primary Fur Color,Quaas,Running,Runs from,Shift,Specific Location,Tail flags,Tail twitches,Unique Squirrel ID,Zip Codes,Number of Records,X,Y
FALSE,RUNNING,Running,Adult,False,False,4,False,False,19,False,,Gray+Cinnamon,19,10062018,False,False,True,37E,3,,Cinnamon,False,False,POINT (-73.9570437717691 40.794850940803904),Ground Plane,False,,me,13,GRAY,False,True,True,PM,,False,False,37E-PM-1006-03,,1,-73.957043772,40.794850941
4,CLIMBING,Climbing,Adult,False,False,4,False,True,19,True,,Cinnamon+,19,10102018,False,False,False,02E,3,,,True,False,POINT (-73.9768311751004 40.76671780725581),Above Ground,False,,,13,CINNAMON,False,False,False,AM,,False,False,2E-AM-1010-03,,1,-73.976831175,40.766717807
3,CLIMBING,Climbing,Juvenile,False,False,4,False,False,19,True,,Gray+,19,10182018,False,False,True,05D,5,,,False,False,POINT (-73.9757249834141 40.7697032606755),Above Ground,False,,,13,GRAY,False,False,True,PM,,False,False,5D-PM-1018-05,,1,-73.975724983,40.769703261
FALSE,,,Juvenile,False,False,4,False,False,19,False,,Gray+Cinnamon,19,10192018,False,False,True,33H,2,,Cinnamon,False,False,POINT (-73.9565700386162 40.7902561000937),Ground Plane,False,wrestling with mother,,13,GRAY,False,False,False,AM,,False,False,33H-AM-1019-02,,1,-73.956570039,40.790256100
FALSE,CHASING,Chasing,Adult,False,False,4,True,False,19,False,,Gray+,19,10202018,False,False,True,06G,2,,,True,False,POINT (-73.9719735582476 40.7693045133578),Ground Plane,False,,,13,GRAY,False,True,False,PM,,False,False,6G-PM-1020-02,,1,-73.971973558,40.769304513
FALSE,FORAGING,Foraging,,False,False,4,False,False,19,False,,Gray+Cinnamon,19,10132018,False,True,True,35C,3,,Cinnamon,False,False,POINT (-73.9602609920814 40.79428830455661),Ground Plane,False,,,13,GRAY,False,False,True,PM,,False,False,35C-PM-1013-03,,1,-73.960260992,40.794288305
FALSE,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,,Gray+,19,10082018,False,True,True,07B,9,,,True,False,POINT (-73.9770718586754 40.7729752391435),Ground Plane,False,,,13,GRAY,False,False,False,AM,,False,False,7B-AM-1008-09,,1,-73.977071859,40.772975239
,EATING,Eating,Adult,False,False,4,False,False,19,False,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,Gray+,19,10172018,True,True,True,32E,14,,,False,False,POINT (-73.9596413903948 40.7903128889029),,False,,,13,GRAY,False,False,True,PM,,False,False,32E-PM-1017-14,,1,-73.959641390,40.790312889
,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,,Gray+Cinnamon,19,10172018,False,True,True,13E,5,,Cinnamon,False,False,POINT (-73.9702676472613 40.7762126854894),Above Ground,False,,,13,GRAY,False,False,False,AM,on tree stump,False,False,13E-AM-1017-05,,1,-73.970267647,40.776212685
,FORAGING,Foraging,Adult,False,False,4,False,True,19,False,,Cinnamon+White,19,10102018,False,True,False,11H,3,,White,True,False,POINT (-73.9683613516225 40.7725908847499),,False,,,13,CINNAMON,False,False,False,AM,,False,True,11H-AM-1010-03,,1,-73.968361352,40.772590885
FALSE,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,just outside hectare,Gray+,19,10102018,False,True,True,36H,2,,,False,False,POINT (-73.9541201789795 40.7931811701082),Ground Plane,False,,,13,GRAY,False,False,False,AM,,False,False,36H-AM-1010-02,,1,-73.954120179,40.793181170
FALSE,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,,Gray+,19,10082018,False,True,True,33F,2,,,True,False,POINT (-73.9582694312289 40.7917367820255),Ground Plane,False,,,13,GRAY,False,False,False,AM,,False,False,33F-AM-1008-02,,1,-73.958269431,40.791736782
FALSE,TAIL FLAGS,Other,Adult,False,False,4,False,False,19,False,,Gray+,19,10062018,False,False,True,21C,1,,,False,False,POINT (-73.9674285955293 40.7829723919744),Ground Plane,False,,,13,GRAY,False,False,False,PM,,True,True,21C-PM-1006-01,,1,-73.967428596,40.782972392
30,CLIMBING,Climbing,Adult,False,False,4,False,False,19,True,,Gray+Cinnamon,19,10102018,False,False,True,11D,3,,Cinnamon,True,False,POINT (-73.9722500196844 40.7742879599026),Above Ground,False,grooming,,13,GRAY,False,False,False,AM,,False,False,11D-AM-1010-03,,1,-73.972250020,40.774287960
FALSE,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,,Gray+White,19,10132018,False,True,True,20B,5,,White,True,False,POINT (-73.9695063535333 40.7823507678183),Ground Plane,False,,,13,GRAY,False,False,False,PM,,False,False,20B-PM-1013-05,,1,-73.969506354,40.782350768
FALSE,FORAGING,Foraging,Adult,False,False,4,False,False,19,False,,Gray+Cinnamon,19,10072018,False,True,True,36I,1,,Cinnamon,True,False,POINT (-73.9532170504865 40.7919669739962),Ground Plane,False,,,13,GRAY,False,False,False,PM,,False,False,36I-PM-1007-01,,1,-73.953217050,40.791966974
